,Artist Name,Followers,Popularity
0,Selena Gomez,12417159,91
1,Selena Gomez & The Scene,3222424,68
2,LJ Bey (Featuring Selena Gomez),617,1
3,Selena Gomez Karaoke Band,505,1
4,Made famous by Selena Gomez,62,0
5,Ariana Grande,20766894,96
6,Zeteck & Ariana Grande,134,1
7,Drake,29604571,100
8,Nick Drake,313363,63
9,Drake White,46462,52
10,Drake Bell,207264,60
11,Drake,21,47
12,Jamie Drake,435,46
13,Christopher Drake,5348,46
14,Eleni Drake,348,33
15,Pete Drake,1915,32
16,Drake Chisholm,1479,31
17,Drake,2381,30
18,Seth Drake,72,27
19,Ludwig Von Drake,224,29
20,Lil Baby Drake,710,29
21,Drake Jackson,12,24
22,Molly Drake,5099,31
23,Nathan Drake,286,23
24,Julius Drake,1180,27
25,Cordell Drake,160,19
26,Gabrielle Drake,75,25
27,Alfred Drake,953,18
28,David Drake,71,15
29,Dusty Drake,252,13
30,Drake,12556,14
31,Ashley Drake,6,12
32,Hamid Drake,800,17
33,Dennis M. Drake,0,14
34,Aubrey Drake Graham,13,20
35,Drake Hayes Band,97,10
36,Drake,116,13
37,Alan Davis Drake,0,27
38,Sir-Franchise Drake,0,8
39,Charlie Drake,1136,19
40,Michael Drake,393,12
41,Drake The Ruler & 03 Greedo,10,11
42,Drake,23,6
43,Drake,44,9
44,"Julius Drake, Ian Bostridge",30,8
45,Drake Stafford,216,17
46,Tom Drake,8,6
47,Drake Delgado,0,8
48,LakeSide Drake,12,4
49,Angharad Drake,522,14
50,"Mixed By Stephen Hague And Mike ""Spike"" Drake",9,26
51,Drake University Wind Symphony,72,6
52,DJ Florence Drake,79,14
53,Drake,113,39
54,Drake Armstrong,1,4
55,Ervin Drake,18,11
56,Martin Drake,7,11
57,Khalid,3970305,96
58,Khaled,137918,60
59,DJ Khalid,5630,41
60,Khalid,668,20
61,Nouman Khalid,407,19
62,Khalid,2673,18
63,Khalid Barzanji,28,21
64,Khalid Kouhen,25,21
65,King Khalid,765,20
66,Khalid Bennani,573,20
67,Khaled Selim,3569,18
68,DJ Khalid,130,20
69,Khalid Belrhouzi,847,16
70,Devan & Khalid,320,8
71,Khalid El Jalil,540,16
72,DJ Khalid,573,10
73,Khalid Martin,1,4
74,Khalid Brigth,2,18
75,Khaled Abdul Rahman,3148,16
76,Khalid,3,2
77,Khalid,14,2
78,Khalid,82,0
79,Khalid,3,0
80,Khalid Hasnain Khalid,34,2
81,Khalid Badaoui & Khalid Isbah,0,0
82,Mohammad Khalid,8,0
83,Khalid Walid,2,1
84,Laila Khalid,0,0
85,Khalid Kebir,1,0
86,Khalid Laâwni,2,0
87,Khalid Kalami,0,0
88,Bodhi Khalid,10,3
89,Khalid Imddokkal,0,0
90,Khalid Khalil,10,0
91,Khalid Kids,0,0
92,Khalid Elsheikh,0,0
93,Khalid G,1,0
94,Krazy Khalid,12,0
95,Khalid Mojali,8,0
96,Khalid Journegan,0,0
97,Khalid MUSLIM,74,0
98,Khalid Agag,43,4
99,Khalid Ahamed,0,0
100,Khalid Anum,6,0
101,Khalid Brooks,1,0
102,Khalid Abdellatif,0,0
103,Khalid Ghayur,9,0
104,Rauf Khalid,0,0
105,Khalid Shaheen,0,0
106,Khalid Mohammad,2,0
107,Calvin Harris,14183186,91
108,Tribute To Calvin Harris,65,0
109,Calvin Harris Tribute Team,117,0
110,J Balvin,11736194,93
111,J. Balvin ft Farruko,489,11
112,J Balvin & Jay T,1633,1
113,Post Malone,8840893,96
114,Post Malone,225,15
115,DJ Snake,3537425,89
116,DJ Snake,4134,35
117,DJ Snake,464,27
118,DJ Snake Machine,431,16
119,DJ Snake,2202,24
120,DJ Snake,884,31
121,Dj Snake & DJ AK,84,1
122,DJ Tripolar Snake,45,0
123,DJ C-Snake,0,0
124,DJ Snake House,4,0
125,Ozuna,12778940,97
126,Sunny Ozuna,3585,18
127,Sunny Ozuna And Sunliners,246,17
128,Ozuna,1930,14
129,Ozuna Ojos Claros,12699,18
130,Ozuna,1371,8
131,Ben Ozuna,1545,4
132,Dj Ozuna,4770,8
133,Zeus Ozuna,45,8
134,Keco ozuna,13,26
135,Manolo Ozuna,30,0
136,Ben Ozuna,1,0
137,navel ozuna,118,1
138,Navel Ozuna,73,1
