,Artist Name,Followers,Popularity
0,Selena Gomez,12457923,91
1,Selena Gomez & The Scene,3232553,68
2,LJ Bey (Featuring Selena Gomez),618,1
3,Selena Gomez Karaoke Band,505,1
4,Made famous by Selena Gomez,62,0
5,Ariana Grande,20862320,97
6,Zeteck & Ariana Grande,139,1
7,Drake,29711089,100
8,Nick Drake,313910,63
9,Drake White,46523,52
10,Drake Bell,207651,60
11,Drake,26,47
12,Jamie Drake,447,47
13,Christopher Drake,5351,46
14,Eleni Drake,348,33
15,Pete Drake,1931,32
16,Drake Chisholm,1479,31
17,Drake,2381,29
18,Seth Drake,72,27
19,Ludwig Von Drake,226,30
20,Lil Baby Drake,713,29
21,Molly Drake,5114,31
22,Drake Jackson,12,24
23,Nathan Drake,287,23
24,Julius Drake,1180,27
25,Cordell Drake,161,19
26,Gabrielle Drake,75,25
27,Alfred Drake,955,18
28,David Drake,71,15
29,Ashley Drake,6,13
30,Dusty Drake,253,13
31,Drake,12556,14
32,Hamid Drake,802,17
33,Dennis M. Drake,0,14
34,Aubrey Drake Graham,13,19
35,Drake Hayes Band,97,10
36,Drake,115,14
37,Alan Davis Drake,0,27
38,Sir-Franchise Drake,0,8
39,Charlie Drake,1137,19
40,Michael Drake,394,13
41,Drake The Ruler & 03 Greedo,10,10
42,Drake,23,6
43,Drake,45,9
44,"Julius Drake, Ian Bostridge",30,8
45,Drake Stafford,216,18
46,Tom Drake,8,7
47,Drake Delgado,0,7
48,Angharad Drake,523,13
49,"Mixed By Stephen Hague And Mike ""Spike"" Drake",9,26
50,Drake University Wind Symphony,72,7
51,DJ Florence Drake,79,14
52,Drake,119,39
53,LakeSide Drake,12,4
54,Drake Armstrong,1,4
55,Ervin Drake,18,11
56,Martin Drake,8,12
57,Khalid,4001057,96
58,Khaled,143583,60
59,DJ Khalid,5661,42
60,Khalid,668,20
61,Khalid,2672,18
62,Nouman Khalid,408,20
63,Khalid Barzanji,28,21
64,Khalid Kouhen,25,23
65,King Khalid,768,20
66,Khalid Bennani,592,20
67,Khaled Selim,3793,19
68,DJ Khalid,130,20
69,Khalid Belrhouzi,848,16
70,Devan & Khalid,321,8
71,Khalid El Jalil,544,16
72,Khalid Knight,12,4
73,DJ Khalid,573,10
74,Khalid Martin,1,4
75,Khalid Brigth,2,18
76,Khaled Abdul Rahman,3365,17
77,Khalid,4,2
78,Khalid,14,2
79,Khalid,82,0
80,Khalid,3,0
81,Khalid Hasnain Khalid,34,2
82,Khalid Badaoui & Khalid Isbah,0,0
83,Mohammad Khalid,8,0
84,Khalid Walid,2,1
85,Laila Khalid,0,0
86,Khalid Kebir,1,0
87,Khalid Laâwni,2,0
88,Khalid Kalami,0,0
89,Bodhi Khalid,10,3
90,Khalid Imddokkal,0,0
91,Khalid Khalil,10,0
92,Khalid Kids,0,0
93,Khalid Elsheikh,0,0
94,Khalid G,1,0
95,Krazy Khalid,12,0
96,Khalid Mojali,8,0
97,Khalid Journegan,0,0
98,Khalid MUSLIM,74,0
99,Khalid Agag,45,4
100,Khalid Ahamed,0,0
101,Khalid Anum,6,0
102,Khalid Brooks,1,0
103,Khalid Abdellatif,0,0
104,Khalid Ghayur,9,0
105,Rauf Khalid,0,0
106,Khalid Shaheen,0,0
107,Calvin Harris,14217054,91
108,Tribute To Calvin Harris,65,0
109,Calvin Harris Tribute Team,117,0
110,J Balvin,11772307,93
111,J. Balvin ft Farruko,492,11
112,J Balvin & Jay T,1635,1
113,Post Malone,8906701,96
114,Post Malone,232,15
115,DJ Snake,3552945,89
116,DJ Snake,4137,35
117,DJ Snake,468,27
118,DJ Snake Machine,431,16
119,DJ Snake,2204,24
120,DJ Snake,884,31
121,Dj Snake & DJ AK,84,1
122,DJ Tripolar Snake,45,0
123,DJ C-Snake,0,0
124,DJ Snake House,4,0
125,Ozuna,12835293,97
126,Sunny Ozuna,3586,18
127,Sunny Ozuna And Sunliners,246,17
128,Ozuna,1941,14
129,Ozuna Ojos Claros,12711,18
130,Keco ozuna,14,26
131,Ozuna,1375,7
132,Ben Ozuna,1545,4
133,Dj Ozuna,4772,8
134,Zeus Ozuna,45,8
135,Manolo Ozuna,30,0
136,Ben Ozuna,1,0
137,navel ozuna,121,1
138,Navel Ozuna,73,1
139,Ozuna Díaz,74,0
140,Carlos Ozuna,5,2
141,Raphy Ozuna,569,0
142,Marcos Ozuna,17,0
143,Isaias Ozuna,162,0
144,Raffy Ozuna,5,0
145,Newtone & Ozuna,29,0
146,Jesus David Mosqueda Ozuna,11,0
147,Ivan Cruz Ozuna,229,0
148,DJ Ozuna JR,1,0
149,Sunny Ozuna and the Sunglows,251,2
150,"Mr Frank, Ozuna, Oco Yajé & Pipe Calderón",45,0
151,Dua Lipa,7745521,91
152,XXXTENTACION,8395017,98
153,Bad Bunny,9537510,95
154,Bad Bunny,1904,24
155,Dead Bad Bunny,3310,4
156,Marshmello,6775880,90
157,Far East Movement & Marshmello,8587,27
158,Marshmello,46,0
159,Marshmello Blackbird,15,0
160,Ed Sheeran,36424856,93
161,Ed Sheeran Band,1136,9
162,Tribute To Ed Sheeran,1552,4
163,Swae Lee,185083,92
164,Swae Lee of Rae Sremmurd,531,12
165,David Guetta,16766803,91
166,David Guetta - Nicki Minaj - Flo Rida,3048,21
167,Avicii - David Guetta,404,14
168,David Guetta - Afrojack - DEV - Timbaland,92,4
169,"David Guetta, French Montana, Charli XCX, Afrojack",41,11
170,David Guetta & Chris Willis feat. Fergie and LMFAO,203,7
171,David Guetta - will.i.am,95,4
172,apl.de.ap - David Guetta - will.i.am,15,3
173,David Guetta - Jessie J,26,3
174,David Guetta Versus David Bowie,590,0
175,The David Guetta Selection,133,0
176,David Guetta - Glowinthedark,757,0
177,David Guetta - Akon,2081,3
178,David Guetta Listen Playlist Takeover,232,0
179,David Guetta & Kaz James,40,0
180,David Guetta Ft Tara Mc Donald,108,1
181,Made Famous By Rihanna & David Guetta,59,17
182,"Made famous by David Guetta feat, Kelly Rowland",23,19
183,Made famous by David Guetta feat Kelly Rowland,22,19
184,Made famous by Made famous by David Guetta feat Akon,17,15
185,David Guetta Karaoke's Band,23,0
186,David Guetta Karaoke Band,36,0
187,David Guetta Dancestars,512,1
188,Tribute To David Guetta,62,0
189,David Guetta Cover Band,94,1
190,Made famous by David Guetta,6,0
191,Made famous by Florida feat David Guetta,52,0
192,Made famous by David Guetta feat Rihanna,22,0
193,made famous by Flo Rida feat David Guetta,36,0
194,Maroon 5,14462453,90
195,Maroon 5,3588,2
196,Karaoke - Maroon 5,129,1
197,Maroon 5 Tribute Team,631,1
198,Move Like Jagger Originally Performed By Maroon 5 Feat.C.Aguillera,92,0
199,Queen,11071035,97
200,Queen Naija,535661,69
201,Queen Pen,8545,66
202,Ivy Queen,584620,64
203,Queen Latifah,66316,60
204,Queen Key,34896,43
205,"The Good, the Bad & the Queen",44355,57
206,Queen Ifrica,43754,47
207,Bob the Drag Queen,16630,44
208,The Black Queen,15714,43
209,The Queen & King,4715,46
210,I Killed The Prom Queen,56376,40
211,Valley Queen,4641,32
212,"Benedictines Of Mary, Queen Of Apostles",4030,36
213,Queen Dominique,12,29
214,Brooklyn Queen,9387,29
215,Storm Queen,12325,47
216,QUEEN BEE,22921,46
217,BLACKTOP QUEEN,580,29
218,L THE QUEEN,470,27
219,Queen of Jeans,2103,27
220,Jenny Queen,117,31
221,Queen + Paul Rodgers,18682,42
222,Queen Chrysalis,253,28
223,DEMON QUEEN,3172,25
224,Queen,1785,27
225,Queen of Apostles,19,26
226,Queen + VonLichten,135,22
227,Queen's Hall Light Orchestra,96,28
228,Queen Wei,6358,35
229,Queen Irene,1,19
230,Madeleine Queen,63,28
231,Queen Darleen,100,27
232,Queen Zel,7,19
233,The Teen Queen,13,32
234,Queen G,2,17
235,Peachie Queen,18,16
236,Queen Moo,1022,16
237,Killer Queen,1126,33
238,Monica Queen,97,16
239,Warrior Queen,1441,28
240,Aline Queen,1822,15
241,New Queen's Hall Orchestra,85,30
242,Red Queen,2801,21
243,Queen + The Muppets,455,20
244,Queen Liliuokalani,87,17
245,Bruiser Queen,642,14
246,Prom Queen,1313,15
247,QUEEN SESSI,3869,22
248,Muthoni Drummer Queen,1677,28
249,Nicki Minaj,13380787,95
250,David Guetta - Nicki Minaj - Flo Rida,3048,21
251,"Tash, Nicki Minaj & Ru Spits",16,0
252,Nicki Minaj Covermix @ Whikey bar TLV,70,2
253,Nicki Minaj Tribute Team,143,0
254,Nicki Minaj's Karaoke Band,117,0
255,Made famous by Nicki Minaj,16,0
256,Letting Go (Dutty Love) feat. Nicki Minaj,455,1
